"Creditability","Duration","Credit.Amount","Account.Balance","Savings","NCredits","Gender","Occupation","Marital.Status"
1,13,882,"2","1",2,"m","employed","Married"
1,24,9277,"4","1",1,"m","employed","Divorced"
0,6,3384,"1","1",1,"m","self-employed","Divorced"
0,18,2169,"4","1",1,"m","employed","Single"
0,12,626,"1","1",1,"f","unemployed","Divorced"
1,36,7432,"2","1",1,"f","employed","Divorced"
1,18,2051,"4","1",1,"m","employed","Married"
0,18,2864,"3","1",1,"m","unemployed","Married"
1,24,2346,"4","1",2,"m","employed","Married"
1,6,428,"1","1",1,"f","employed","Divorced"
1,24,1382,"1","2",2,"m","employed","Married"
1,9,2753,"4","2",1,"m","employed","Married"
0,18,1943,"4","1",1,"f","employed","Divorced"
1,36,6614,"4","1",2,"m","self-employed","Married"
1,24,1376,"4","3",1,"f","employed","Divorced"
1,45,4576,"2","2",1,"m","employed","Married"
0,48,10127,"4","3",1,"m","employed","Married"
0,48,6224,"2","1",1,"m","employed","Married"
1,12,926,"4","1",1,"f","unemployed","Divorced"
1,24,5743,"2","1",2,"f","employed","Divorced"
1,24,4151,"4","2",2,"m","employed","Married"
0,36,8229,"1","1",1,"m","employed","Married"
1,6,1743,"4","2",2,"m","unemployed","Married"
1,12,1592,"4","4",1,"f","employed","Divorced"
1,24,3660,"1","1",1,"f","employed","Divorced"
1,12,1258,"4","1",2,"f","unemployed","Divorced"
1,30,10623,"1","1",3,"m","self-employed","Married"
0,48,6758,"1","1",1,"f","employed","Divorced"
1,24,2424,"4","1",2,"m","employed","Married"
0,12,6468,"2","1",1,"m","self-employed","Married"
1,12,707,"4","1",2,"m","employed","Married"
0,24,2538,"4","1",2,"m","unemployed","Married"
1,18,5866,"2","2",2,"m","employed","Married"
1,20,6468,"2","1",1,"m","self-employed","Divorced"
1,7,2415,"2","1",1,"m","employed","Married"
0,24,1193,"1","1",2,"f","unemployed","Divorced"
1,12,1393,"4","1",3,"m","employed","Married"
1,24,1275,"3","4",2,"m","employed","Divorced"
0,24,4591,"4","4",3,"m","self-employed","Married"
0,30,3441,"2","2",1,"f","employed","Divorced"
0,36,2302,"1","1",1,"m","employed","Divorced"
1,48,3979,"2","1",2,"m","employed","Married"
1,18,7374,"2","1",2,"m","self-employed","Married"
1,10,1287,"4","1",1,"m","unemployed","Married"
0,36,9572,"4","1",2,"m","employed","Divorced"
1,12,3617,"2","1",3,"m","employed","Married"
1,9,3074,"4","1",2,"m","employed","Married"
1,36,8133,"4","1",1,"f","employed","Divorced"
1,21,2241,"4","1",2,"m","employed","Married"
0,6,1198,"1","1",1,"f","employed","Divorced"
1,12,1424,"3","1",1,"f","self-employed","Divorced"
1,36,10477,"4","1",2,"m","employed","Married"
1,15,1471,"4","1",2,"m","employed","Married"
1,18,1473,"4","1",1,"m","employed","Single"
1,36,5848,"3","1",1,"m","employed","Married"
1,6,1323,"3","2",2,"m","employed","Divorced"
1,24,2872,"4","2",1,"m","employed","Married"
1,24,3749,"3","1",1,"f","employed","Divorced"
1,18,3612,"2","1",1,"f","employed","Divorced"
0,36,3349,"4","1",1,"f","self-employed","Divorced"
0,36,1842,"1","1",1,"f","employed","Divorced"
0,45,1845,"1","1",1,"m","employed","Married"
1,15,1360,"4","1",2,"m","employed","Married"
1,6,1898,"4","1",2,"m","unemployed","Married"
1,24,6314,"4","1",2,"m","self-employed","Married"
1,15,1532,"4","2",1,"f","employed","Divorced"
0,27,8318,"2","1",2,"f","self-employed","Divorced"
0,48,18424,"2","1",1,"f","self-employed","Divorced"
1,6,2080,"4","3",1,"m","employed","Single"
1,12,640,"4","1",1,"m","unemployed","Divorced"
0,18,2462,"1","1",1,"m","employed","Married"
1,48,2751,"4","1",2,"m","employed","Married"
1,24,1258,"4","1",1,"m","employed","Married"
0,12,836,"2","2",1,"f","unemployed","Divorced"
0,21,1647,"1","1",2,"m","unemployed","Married"
0,24,2359,"1","2",1,"m","employed","Divorced"
0,36,7855,"4","1",2,"f","employed","Divorced"
1,18,1913,"2","4",1,"m","employed","Single"
0,12,1228,"1","1",1,"f","unemployed","Divorced"
1,12,2759,"4","1",2,"m","employed","Married"
0,24,1344,"3","1",2,"m","unemployed","Married"
0,12,1372,"1","1",1,"m","employed","Divorced"
1,30,3077,"4","1",2,"m","employed","Married"
1,30,8072,"1","1",3,"m","employed","Married"
0,36,12612,"2","2",1,"m","employed","Married"
0,33,4281,"1","3",2,"f","employed","Divorced"
1,24,2978,"4","1",2,"m","employed","Married"
1,18,2622,"2","2",1,"m","employed","Married"
1,12,1493,"4","1",1,"f","employed","Divorced"
1,6,1766,"4","1",1,"m","employed","Single"
1,24,1553,"2","2",2,"f","employed","Divorced"
1,10,727,"4","3",1,"m","employed","Married"
1,24,2255,"4","1",1,"m","employed","Married"
1,36,5800,"2","1",2,"m","employed","Married"
1,6,662,"1","1",1,"m","unemployed","Married"
1,18,1028,"4","1",2,"f","employed","Divorced"
1,21,3160,"4","1",1,"m","employed","Married"
1,6,660,"4","3",1,"m","unemployed","Single"
1,11,1577,"2","4",1,"f","employed","Divorced"
0,18,1442,"1","1",2,"m","unemployed","Married"
0,48,3844,"2","2",1,"m","unemployed","Married"
1,24,2032,"4","1",2,"m","employed","Married"
1,36,3959,"1","1",1,"m","self-employed","Married"
0,24,5943,"4","1",2,"f","employed","Divorced"
0,24,2039,"2","1",1,"m","employed","Single"
1,12,3124,"2","1",2,"m","unemployed","Married"
1,18,4439,"2","1",1,"m","self-employed","Married"
1,12,2133,"4","1",1,"f","self-employed","Divorced"
1,10,1597,"4","3",1,"m","unemployed","Married"
0,27,2520,"2","3",2,"m","unemployed","Married"
0,48,15672,"2","1",1,"m","employed","Married"
0,12,1082,"1","1",2,"m","employed","Married"
0,18,6761,"4","1",2,"m","employed","Married"
0,60,6836,"1","1",2,"m","employed","Married"
1,4,3380,"4","1",1,"f","employed","Divorced"
0,36,9034,"2","2",1,"m","self-employed","Married"
0,24,1371,"1","1",1,"f","employed","Divorced"
1,12,1412,"4","1",2,"f","self-employed","Divorced"
1,6,1554,"4","1",2,"f","employed","Divorced"
1,10,2901,"4","1",1,"f","employed","Divorced"
1,30,4530,"4","1",1,"f","self-employed","Divorced"
1,12,339,"1","1",1,"m","unemployed","Single"
1,30,6742,"4","1",2,"m","employed","Married"
1,12,3399,"3","1",1,"m","self-employed","Married"
1,6,1382,"4","1",2,"f","employed","Divorced"
0,18,2278,"2","2",2,"f","employed","Divorced"
1,15,1300,"4","1",1,"m","employed","Married"
0,24,1823,"1","1",1,"m","self-employed","Married"
1,12,1657,"1","1",1,"m","employed","Married"
0,48,7685,"1","1",1,"f","employed","Divorced"
1,30,3017,"3","1",1,"m","employed","Married"
1,9,1199,"2","1",2,"f","self-employed","Divorced"
1,10,1048,"2","1",1,"m","unemployed","Married"
0,12,2149,"1","1",1,"m","employed","Divorced"
1,42,7882,"1","1",1,"m","employed","Married"
1,15,2186,"4","1",1,"f","unemployed","Divorced"
0,48,6143,"1","1",2,"f","unemployed","Divorced"
1,18,2662,"4","1",1,"m","employed","Married"
1,5,3448,"4","1",1,"m","unemployed","Married"
0,21,2319,"3","1",1,"m","employed","Divorced"
0,12,900,"1","1",1,"m","employed","Single"
0,12,3499,"1","1",2,"f","employed","Divorced"
1,24,3181,"4","1",1,"f","employed","Divorced"
0,42,3965,"1","1",1,"m","employed","Married"
0,10,1240,"3","2",1,"f","unemployed","Divorced"
0,30,7485,"4","1",1,"f","self-employed","Divorced"
1,12,1291,"4","1",2,"f","employed","Divorced"
1,12,2012,"4","1",1,"f","employed","Divorced"
0,30,6350,"1","1",1,"m","employed","Married"
1,36,9055,"4","1",1,"m","unemployed","Married"
1,24,5511,"4","2",1,"m","employed","Married"
0,21,3414,"1","1",2,"m","employed","Married"
0,30,11998,"1","1",1,"m","unemployed","Divorced"
1,12,5801,"4","1",1,"m","employed","Married"
1,9,1082,"2","1",2,"m","unemployed","Married"
0,12,1386,"4","3",1,"f","employed","Divorced"
1,12,1402,"4","3",1,"f","employed","Divorced"
1,12,996,"4","1",2,"f","employed","Divorced"
0,12,766,"2","3",1,"m","unemployed","Married"
0,24,1546,"1","1",1,"m","unemployed","Married"
0,18,976,"1","1",1,"f","unemployed","Divorced"
1,24,4042,"4","1",2,"m","employed","Married"
0,24,1216,"2","2",2,"m","employed","Married"
1,30,5954,"4","1",1,"m","employed","Married"
1,10,1418,"4","2",1,"m","unemployed","Married"
0,18,1056,"2","1",2,"m","employed","Married"
0,36,2225,"2","1",2,"m","employed","Married"
1,12,409,"3","4",2,"f","employed","Divorced"
0,12,1922,"2","1",1,"m","unemployed","Married"
1,36,3535,"4","1",2,"m","employed","Married"
0,36,12389,"2","1",1,"m","employed","Married"
1,18,2389,"1","1",1,"f","employed","Divorced"
1,18,866,"2","1",1,"m","unemployed","Single"
0,24,3123,"1","1",1,"f","employed","Divorced"
0,10,1309,"4","1",1,"m","unemployed","Married"
1,21,2606,"1","1",1,"f","self-employed","Divorced"
1,24,2325,"1","2",1,"m","employed","Married"
1,24,1901,"4","2",1,"m","self-employed","Married"
1,9,1449,"4","1",2,"f","employed","Divorced"
1,18,8471,"1","1",2,"f","employed","Divorced"
1,12,1474,"3","1",1,"f","self-employed","Divorced"
0,9,1422,"1","1",1,"m","self-employed","Married"
1,12,841,"2","2",1,"f","unemployed","Divorced"
1,14,802,"4","1",2,"m","unemployed","Married"
0,12,2246,"1","1",2,"m","employed","Married"
1,6,1543,"4","4",1,"m","employed","Divorced"
1,18,1800,"4","1",2,"m","employed","Married"
1,24,2924,"1","1",1,"m","employed","Married"
1,12,3017,"2","1",1,"f","self-employed","Divorced"
1,24,2964,"1","1",1,"m","employed","Married"
1,27,5190,"4","1",4,"m","employed","Married"
0,9,1670,"2","1",1,"f","employed","Divorced"
1,24,3235,"4","3",1,"m","self-employed","Divorced"
0,36,2820,"2","1",2,"m","employed","Divorced"
1,10,2146,"4","1",2,"f","employed","Divorced"
1,6,1236,"4","3",1,"m","employed","Married"
1,24,1525,"4","4",1,"f","employed","Divorced"
1,6,484,"2","1",1,"m","unemployed","Single"
1,36,8947,"4","1",1,"m","self-employed","Married"
1,15,1444,"2","1",1,"m","employed","Married"
1,42,3394,"1","1",2,"m","unemployed","Married"
0,24,4817,"1","1",1,"m","employed","Married"
1,12,1330,"3","1",1,"m","employed","Married"
1,24,1927,"4","1",2,"f","employed","Divorced"
1,24,3878,"2","2",1,"m","employed","Divorced"
1,4,601,"4","1",1,"f","unemployed","Divorced"
1,9,3195,"2","1",1,"f","unemployed","Divorced"
0,21,12680,"4","1",1,"m","self-employed","Married"
1,21,2745,"2","4",2,"m","employed","Married"
0,15,802,"2","1",1,"m","employed","Married"
1,42,9283,"2","1",1,"m","self-employed","Married"
1,9,1313,"4","1",1,"m","employed","Married"
1,12,1680,"1","3",1,"m","employed","Single"
1,30,4272,"4","2",2,"m","unemployed","Married"
1,12,1480,"3","3",3,"m","unemployed","Married"
1,15,3568,"4","1",1,"f","self-employed","Divorced"
0,12,2969,"2","1",2,"f","employed","Divorced"
1,30,1867,"4","1",1,"m","employed","Married"
1,48,10222,"4","1",1,"m","employed","Married"
0,28,4006,"1","1",1,"m","unemployed","Married"
0,24,3552,"1","1",1,"m","employed","Married"
1,10,1924,"4","1",1,"m","employed","Married"
1,18,1887,"2","1",2,"m","employed","Single"
1,12,2366,"2","3",1,"m","self-employed","Divorced"
1,24,7814,"4","1",1,"m","self-employed","Married"
0,36,4455,"2","1",2,"m","self-employed","Divorced"
1,18,1961,"3","1",1,"f","self-employed","Divorced"
1,24,1474,"4","2",1,"m","employed","Single"
1,12,385,"1","1",4,"f","unemployed","Divorced"
1,12,1409,"1","1",1,"m","employed","Married"
1,6,2978,"4","3",1,"m","employed","Married"
0,24,11328,"2","1",2,"m","self-employed","Married"
0,24,1282,"1","2",1,"f","unemployed","Divorced"
1,12,804,"4","1",1,"m","employed","Married"
1,12,2247,"3","1",2,"f","employed","Divorced"
0,15,2327,"3","1",1,"f","unemployed","Divorced"
1,36,2394,"4","1",1,"f","employed","Divorced"
0,36,8335,"1","1",1,"m","employed","Married"
1,6,1204,"4","2",1,"m","employed","Married"
0,12,1223,"2","1",2,"m","employed","Divorced"
1,30,3622,"1","4",2,"f","employed","Divorced"
1,6,1957,"1","1",1,"f","employed","Divorced"
1,24,2812,"1","1",1,"f","employed","Divorced"
1,6,1538,"4","1",1,"f","employed","Divorced"
1,24,7758,"2","4",1,"f","employed","Divorced"
1,30,2503,"2","2",2,"m","employed","Married"
1,24,2679,"4","1",1,"f","self-employed","Divorced"
0,18,12976,"2","1",1,"f","self-employed","Divorced"
1,30,2831,"4","1",1,"f","employed","Divorced"
1,21,3275,"4","1",1,"m","self-employed","Married"
1,6,666,"1","4",2,"f","unemployed","Divorced"
1,30,4221,"2","1",2,"f","employed","Divorced"
0,18,433,"4","1",1,"f","employed","Divorced"
1,22,1283,"4","1",1,"f","employed","Divorced"
0,12,1274,"1","1",1,"f","unemployed","Divorced"
1,9,2507,"4","3",1,"m","unemployed","Married"
1,36,9566,"4","1",2,"f","employed","Divorced"
1,9,3577,"4","2",1,"m","employed","Married"
1,24,1278,"4","1",1,"m","self-employed","Married"
0,18,1217,"1","1",1,"m","unemployed","Single"
1,24,2603,"4","4",1,"f","employed","Divorced"
1,36,7678,"4","3",2,"f","employed","Divorced"
1,13,2101,"2","1",1,"f","unemployed","Divorced"
0,24,1935,"2","1",2,"m","employed","Divorced"
1,18,4594,"4","1",1,"m","employed","Married"
1,12,4675,"4","1",1,"f","employed","Divorced"
1,24,6403,"2","1",1,"m","employed","Married"
1,18,3872,"2","1",1,"f","employed","Divorced"
1,4,1544,"4","1",3,"m","unemployed","Married"
1,24,3758,"2","3",1,"f","unemployed","Divorced"
0,12,2762,"2","1",1,"f","employed","Divorced"
0,36,4463,"4","1",2,"m","self-employed","Married"
0,18,6458,"4","1",2,"m","self-employed","Married"
1,6,1872,"1","1",3,"m","self-employed","Married"
1,48,7476,"1","1",1,"m","self-employed","Married"
0,6,931,"2","2",1,"f","unemployed","Divorced"
1,21,1572,"4","4",1,"f","unemployed","Divorced"
0,18,2473,"1","1",1,"m","unemployed","Married"
0,12,7865,"1","1",1,"m","self-employed","Married"
1,24,2223,"4","2",2,"m","employed","Married"
1,6,1374,"1","1",1,"f","self-employed","Divorced"
0,24,1381,"1","1",1,"f","employed","Divorced"
1,12,625,"2","1",1,"m","unemployed","Single"
1,6,753,"2","1",1,"f","employed","Divorced"
1,24,2384,"1","1",1,"m","unemployed","Married"
1,24,3430,"4","3",1,"m","employed","Married"
1,6,1237,"4","2",2,"f","employed","Divorced"
1,20,2212,"1","1",1,"m","employed","Married"
1,30,3496,"2","4",1,"m","employed","Married"
1,12,3590,"1","1",1,"m","unemployed","Married"
1,12,958,"2","1",2,"m","unemployed","Married"
1,6,368,"2","1",1,"m","employed","Married"
1,6,2647,"1","3",1,"m","employed","Married"
1,24,2760,"2","1",1,"m","employed","Married"
1,18,1880,"1","1",2,"m","self-employed","Single"
0,36,10974,"4","1",2,"f","self-employed","Divorced"
0,48,3931,"1","1",1,"m","employed","Married"
0,36,1819,"4","1",1,"m","employed","Married"
1,18,1820,"4","1",1,"m","self-employed","Single"
0,24,4241,"2","1",3,"m","unemployed","Married"
0,36,9629,"1","1",2,"m","employed","Married"
1,24,3105,"4","1",2,"m","employed","Married"
1,18,6204,"2","1",1,"m","unemployed","Married"
0,54,15945,"2","1",1,"m","employed","Married"
1,6,1050,"2","1",2,"m","self-employed","Married"
0,45,4746,"2","1",2,"m","unemployed","Married"
1,36,2323,"2","1",1,"m","employed","Married"
0,48,4308,"1","1",1,"f","employed","Divorced"
1,21,3976,"2","1",1,"m","employed","Married"
1,24,6842,"4","1",2,"m","self-employed","Married"
1,24,1287,"4","4",2,"f","employed","Divorced"
1,36,2613,"4","1",2,"m","employed","Married"
1,48,12749,"4","3",1,"m","self-employed","Married"
1,12,701,"4","1",2,"m","employed","Married"
0,24,1207,"1","1",1,"f","employed","Divorced"
1,18,3422,"4","1",3,"m","employed","Married"
1,15,1316,"4","3",2,"m","unemployed","Single"
1,24,1925,"3","1",1,"m","employed","Married"
1,12,1995,"2","2",1,"m","employed","Married"
1,14,1410,"2","3",1,"m","employed","Single"
1,12,3059,"4","4",1,"m","unemployed","Divorced"
0,14,8978,"1","1",1,"m","self-employed","Divorced"
0,36,4210,"3","1",1,"m","employed","Married"
1,60,10144,"4","2",1,"f","employed","Divorced"
0,18,2775,"4","1",2,"m","employed","Married"
1,9,1288,"1","2",2,"m","employed","Married"
1,11,1154,"4","2",3,"f","unemployed","Divorced"
1,6,1203,"1","2",1,"m","employed","Married"
0,18,1216,"1","1",1,"f","employed","Divorced"
1,11,2142,"4","4",1,"m","employed","Divorced"
0,36,2384,"2","1",1,"m","unemployed","Married"
1,6,6761,"4","1",2,"m","self-employed","Married"
0,15,4623,"4","2",1,"m","self-employed","Married"
1,36,4686,"4","1",1,"m","self-employed","Married"
1,48,7629,"4","1",2,"m","self-employed","Divorced"
1,24,1965,"2","1",2,"f","employed","Divorced"
0,18,2100,"3","1",1,"m","employed","Married"
1,12,1881,"3","1",1,"f","unemployed","Divorced"
0,12,759,"1","1",1,"m","employed","Married"
1,6,454,"2","1",1,"m","unemployed","Single"
1,24,6568,"1","1",1,"m","unemployed","Single"
1,12,2390,"4","1",1,"m","employed","Married"
1,9,2697,"4","1",1,"m","employed","Married"
0,9,1337,"3","1",2,"m","self-employed","Married"
1,10,1364,"4","1",1,"f","employed","Divorced"
1,20,7057,"2","1",2,"m","self-employed","Married"
1,9,1126,"3","2",1,"m","employed","Divorced"
1,30,6187,"1","2",2,"m","employed","Single"
1,10,2848,"4","2",1,"m","employed","Married"
1,21,1602,"1","1",2,"m","employed","Single"
0,24,3349,"1","3",1,"m","employed","Married"
0,18,1928,"2","1",2,"m","unemployed","Married"
1,18,1453,"4","1",1,"f","employed","Divorced"
1,6,932,"2","1",2,"f","unemployed","Divorced"
1,15,2631,"2","2",1,"f","unemployed","Divorced"
1,18,1817,"4","1",2,"f","employed","Divorced"
1,24,3632,"1","1",1,"f","employed","Divorced"
1,24,2835,"4","3",1,"m","employed","Married"
0,12,691,"1","1",2,"m","employed","Married"
1,33,7253,"4","1",2,"m","self-employed","Married"
1,18,3229,"4","1",1,"m","self-employed","Married"
1,6,1740,"4","1",2,"m","employed","Single"
1,12,3447,"4","3",1,"f","unemployed","Divorced"
0,15,6850,"2","2",1,"m","self-employed","Married"
1,12,1620,"1","1",1,"f","employed","Divorced"
1,48,3566,"2","2",1,"m","employed","Married"
0,72,5595,"2","2",1,"m","employed","Single"
1,12,1884,"4","1",1,"m","self-employed","Married"
1,15,874,"4","1",1,"f","employed","Divorced"
1,12,3565,"4","1",2,"m","unemployed","Married"
1,24,2333,"2","1",1,"m","unemployed","Married"
0,48,7119,"1","1",2,"m","employed","Married"
0,40,5998,"1","1",1,"m","employed","Married"
